text,label
social media fosters unaccountable hate speech and animosity towards others.,social media
an austerity regime will help reign in government spending,austerity regime
"Marriage is an outdated institution. All types of relationships and family units (one-parent families, homosexual relationships, etc.) should be embraced and treated equally.",marriage
a multi-party system provides more choices to insure that the people have representation for their various beliefs beyond a simple two or single-party system.,multi-party system
Homeopathic treatments are based on natural ingredients and are the most suitable for the human body.,homeopathy
"racial profiling causes unfair surveillance of brown people, especially those who are just trying to live normal and peaceful lives that are interrupted by police hassling.",racial profiling
"no one should be forced to vote. it goes against the principles of our nation and its freedoms. it is a right, but that doesn't mean anyone has to do it.",compulsory voting
autonomous cars will function as a new form of public transit and alleviate congestion,the development of autonomous cars
three strike laws perpetuate the for profit prison industrial complex and don’t actually address the underlying issues driving people to commit crimes,the three-strikes laws
"we should subsidize space exploration because we're running out of resources on earth. space is filled with infinite resources. if we're not first, other countries will benefit while we're left behind.",space exploration
using child actors is exploitative and should be viewed as the same as child labor.,the use of child actors
the abolition of nuclear weapons is an urgent humanitarian necessity. any use of nuclear weapons would have catastrophic consequences,the abolition of nuclear weapons
"homeschooling is a good option for children who are bullied, giving them a safe place to learn",homeschooling
"The short term nature of the loan repayment structure actively incentivizes both the rollover of previous debt, and the need to take out more debt over time.",payday loans
zoos are helping to protect animals from illegal poachers,zoos
"not only is whaling cruel, it unbalances ecosystems and is terrible for the environment.",whaling
some foster parents cause physical and emotional harm to the children they are hosting.,foster care
Targeted killing is pre-determined murder and should be banned and illegal,targeted killing
Factory farming exposes farm animals to inhumane conditions and should be stopped.,factory farming
urbanization is needed for a growing population,fight urbanization
The blockade inspires increased terror attacks on the part of individuals enraged by the situation in Palestine.,blockade of the gaza strip
collectivism does not allow for individual enterprise and it stifles entrepreneurism.,collectivism
there should be no difference between killing one animal and another. if it is acceptable to kill a cow it should be acceptable to eat a whale.,whaling
human cloning can help doctors find a cure for illnesses we otherwise won't be able to survive,human cloning
minors should not get plastic surgery because they are not old enough to make the decision nor have their bodies fully developed.,cosmetic surgery for minors
"affirmative action may lead to ""reverse discrimination"" to the detriment of non-beneficiary parties",affirmative action
we should not abolish the right to keep and bear arms because it is a constitutional right to own weapons to protect ourselves.,the right to keep and bear arms
factory agriculture can cause serious health damage to humans due to its high levels of chemicals,factory farming
autonomous cars can be hacked and become a dangerous weapon for evil persons,the development of autonomous cars
Three strikes laws put people in jail for long periods despite committing only minor offenses.,the three-strikes laws
the use of nuclear weapons would be catastrophic for mankind,the abolition of nuclear weapons
factory farming gives the most output for the least input therefore it's a more profitable way of farming. more money is a good thing for farmers.,factory farming
students are still children who need room to learn and grow from mistakes.,zero-tolerance policy in schools
"The use of nuclear weapons would have catastrophic consequences for humans, and the effects of radiation would cause suffering and death for many years after the initial explosion.",the abolition of nuclear weapons
private military companies earn their profits from war. they do not work for a country but for whatever individuals hire them there really is not a good oversight for what these companies do.,private military companies
marriage is a part of human nature and couples are more financially secure and happy when they're married,marriage
assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,assisted suicide
The Church of Scientology should not be banned as everyone has the right to follow whichever belief system that enhances their life.,the church of scientology
factory farming keeps animals in cages being force fed to get more meat from them. this is cruel treatment. stop this awful practice by banning factory farming.,factory farming
we should not abolish intellectual property rights because everyone has the right to keep their creations or ideas all to themselves.,intellectual property rights
multi-party systems help decentralize power and better represent the various interests of different socio-economic strata within a nation.,multi-party system
Nuclear weapon technology provides the foundations for other technologies that benefit society in many ways.,the abolition of nuclear weapons
The Gaza blockade causes too much harm to civilians in relation to the small military gains made by Israel.,blockade of the gaza strip
"assisted suicide is killing by another name - it is far too open to abuse by those with a vested interest, since it is often impossible to accurately interpret the intentions of the individual being 'assisted'.",assisted suicide
multi-party systems provide many new sources of views on relevant topics,multi-party system
zoos should be abolished. animals have the right to not be locked in cages for daily human viewing pleasure,zoos
"The olympic games are a long ongoing tradition that has brought countries together in peace to focus on sport rather than their various differences, this important event should never be abolished.",the olympic games
economic sanctions are a non violent way to change a governments unethical or immoral practices,the use of economic sanctions
homeschooling prevents children from socializing with other children which can cause problems for them in the future.,homeschooling
embryonic stem cell research is important. this research can find a cure to many diseases so it should definitely be funded.,embryonic stem cell research
"Children flourish when a parent is their primary caregiver, but it nearly impossible to raise a family on one salary. Subsidizing stay-at-home dads would benefit such families.",stay-at-home dads
marriage is an important safeguard in terms of legal and financial binding.,marriage
economic sanctions are a good way to get things to happen in a target area,the use of economic sanctions
payday loans should be banned as they take further financial advantage of a person.,payday loans
Allowing minors to access cosmetic surgery would put even more pressure on them to conform to certain unrealistic aesthetic standards.,cosmetic surgery for minors
no one is forcing anyone to buy what the telemarketers are selling,telemarketing
Cosmetic surgery can have really harmful side-effects that minors can't consent to and will not be able to physically handle the way adults do.,cosmetic surgery for minors
there is no scientific proof that naturopathy is safe.,naturopathy
we should legalize organ trade because it will be better monitored than having organs being sold on the black market,organ trade
zoos allow people to see many animals in their natural habitat that most people would never see.,zoos
affirmative action is reverse descrimination against the majority,affirmative action
"autonomous cars are still in their early stages of development -- by devoting more time and energy to their development, they will become a viable form of transportation.",the development of autonomous cars
"we should not ban child actors, regulation can and does ensure they are not overworked and receive quality schooling",the use of child actors
some people believe that naturopathy has really helped them with their illnesses.,naturopathy
"rights to individual autonomy and privacy allow adults to make their own decisions and sexual activity is a private, individual choice that should not be subject to criminal penalties",prostitution
"Since the blockade began, it has failed to decrease Hamas activity or violence against Israel in any meaningful way, failing at its main objective.",blockade of the gaza strip
"homeschooling should not be banned, its a great way to learn one to one especially for children with learning difficulties",homeschooling
banning missionary work would leave those in need without the help they require to thrive,missionary work
men and women will always be biologically different and as such we ought not adopt gender-neutral language. this is silly because it pretends that genders are the same when in reality there are vast differences,gender-neutral language
the olympic games is one time that the entire world can come together and celebrate and create community so they should not be abolished.,the olympic games
people should have the choice of what sex their children are since they are the ones who have to raise them and provide for them,sex selection
there has to be a limit on what science can ethically do and human cloning is a step too far and should be banned for fear of this science being missued.,human cloning
"most marriages end in divorce, which causes an economic hardship on both parties. it makes more financial sense to not get married in the first place",marriage
school uniforms reduce bullying and classroom distractions.,the use of school uniform
"the more people work together as a team, the better things will be",collectivism
we must ban fast food because many of the ingredients used are harmful to health,fast food
it does not work and it gives people false hope when they should be getting real treatment.,naturopathy
Weddings are an economic boon for many sectors of society.,marriage
we must not abolish nuclear weapons because they can be used in situations of extreme need like defending a country,the abolition of nuclear weapons
we should abolish zoos to prevent the cruel confinement of wild animals,zoos
the vow of celibacy is outdated and may contribute to the perverse sex crimes priests have been accused of.,the vow of celibacy
the right to bear arms is outdated. it was written long before handguns and automatic weapons were created. time to abolish it.,the right to keep and bear arms
the cars can be dangerous and cause accidents if the equipment fails.,the development of autonomous cars
"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.",zoos
private military companies do not all follow the rules of the country,private military companies
social media provides a way for users to quickly seek and receive support whether financially or emotionally in a time of dire need.,social media
"wikipedia is one of a number of resources, it does not warrant special treatment",wikipedia
Human cloning should not be banned as at may prevent the study and advance of medical science.,human cloning
adopting gender-neutral language may help reduce sexism.,gender-neutral language
"human cloning is unnecessary, unethical and serves no purpose apart increasing overpopulation of the planet",human cloning
Payday loans fees are arbitrarily set. They take off like the tier of one's person payday. This is damaging to one financial future and security,payday loans
we should fight for the abolition of nuclear weapons since it provides a major terror threat. it's testing is also bad for our environment since it creates radiation in our ocean or on land.,the abolition of nuclear weapons
Flag burning is a valid protest method that doesn't harm anyone.,flag burning
cannabis has many medicinal benefits and therefore it should be legalized.,cannabis
many times naturopathy is superior to prescription drugs,naturopathy
it is a requirement for christianity and each religion has its rules and must be respected,the vow of celibacy
flag burning is another freedom of expression.,flag burning
the right to keep and bear arms is putting everyone in danger and making mass-shootings more easily done.,the right to keep and bear arms
"algorithmic trading gives an unfair advantage to those who have access to such technology and results in losses for the ""little guy"".",algorithmic trading
legalizing the organ trade would increase availability for people in need of a life-saving transplant,organ trade
school is not the place to practice religion since it is run by the state.,school prayer
the olympic games allow lesser known countries to be represented on a world stage.,the olympic games
pride parades are a way for people to express their individualities and rights.,cancel pride parades
Payday loans should be banned to encourage more traditional creditors to come into low income communities,payday loans
factory farming is cruel to the animals so we should ban it,factory farming
the neutrality of private military companies cannot be guaranteed so they are a threat to national security.,private military companies
we should oppose collectivism as it can lead to people hiding behind the actions of the group rather than taking responsibility for their own actions.,collectivism
homeopathy provides natural cures for diseases.,homeopathy
the indiscriminate hunting of whales is diminishing the quantity of these mammals to dangerous levels,whaling
"racial profiling focuses on specific races, a form of police discrimination that unfairly targets the wrong people based on their appearance.",racial profiling
many executives have little functional role in the company so don't deserve such high salaries,executive compensation
embryonic stem cell research should be subsidized as the research could provide important breakthrough in treatments for medical conditions.,embryonic stem cell research
by eliminating the circulation of arms we will reduce violence and prevent crimes,the right to keep and bear arms
flag burning is likely to incite violence,flag burning
"a low score may prevent the development an individual to their maximum potential and test results can create divisions, if they are viewed a measure of an individual worth.",intelligence tests
fast food is severely unhealthy and aids in our world’s obesity epidemic,fast food
fast food is unhealthy and regular consumption leads to obesity and other health problems,fast food
whales are endangered and we need to ban whaling before it's too late,whaling
"holocaust denial is dangerous, negligent, and harmful",holocaust denial
"we should ban targeted killing, just because it is targeted does not mean innocent people are safe. anyone in the vicinity of the area the target is thought to be will likely become collateral damage",targeted killing
We should abandon television as other media sources are more supported and television is only holding their development back.,television
"While many who graduate from universities struggle to find high paying jobs in their field, graduates of vocational schools have high employments and high standards of living.",vocational education
"zoos are prisons for animals, they should be in their natural habitat not enclosed between bars",zoos
stem cell research can be a path to finding cures to many diseases,embryonic stem cell research
payday loans prey on the poor who can't afford the high interest rates therefore putting them into the cycle of never having enough left out of their paycheck and having to keep getting more loans.,payday loans
foster care is important because it keeps kids from living in large group care facilities where there is no semblance of a normal life.,foster care
organ trade will help save lives as long as the organs were obtained legally.,organ trade
legalizing prostitution would erode moral values and reduce the safety of women so it should never be legal.,prostitution
space exploration is a waste of taxpayers money and should be funded by private enterprises.,space exploration
"it is not the government's business what people put in their bodies, this is an overstep in terms of regulation",fast food
this practice insures students are all equal in dress and ensures students will not come to school in inappropriate clothing.,the use of school uniform
"human cloning is unethical and causes legal issues, such as is the clone a person with rights",human cloning
journalism should be free from bias and present facts no matter what. if subsidized news would.have an automatic bias towards whoever is funding it which leads to inaccurate reporting and doubtful audiences.,journalism
foster care allows for children to be in a safe environment and allows for families to heal for reunification purposes.,foster care
zero tolerance in schools will provide a safer environment for both pupils and teachers and ensure disruptive pupils are not tolerated.,zero-tolerance policy in schools
we shouldn't get rid of the olympics because it unites countries and gives everyone something in common.,the olympic games
A multi-party system would bring in a lot more choice of representation for the people living in the country.,multi-party system
we should not abolish intellectual property rights because that is someones idea and they should get credit for it.,intellectual property rights
we should not abolish the olympic games as it one way to promote international relations.,the olympic games
"naturopathy is not a proven science, and some naturopaths give dangerous advice to clients. this is not a safe practice.",naturopathy
"if the legislature and/or executive branches violate the constitution, judicial activism is a remedy for this.",judicial activism
"Nuclear weapons do not only cause immediate devastation, but also long term radiation poisoning that can result in cancers and other diseases for any survivors of a nuclear blast, which is cruel and unacceptable.",the abolition of nuclear weapons
autonomous cars will provide a way for people who are blind or handicapped a way to travel,the development of autonomous cars
we should ban the use of child actors as they should be concentrating on getting an education first,the use of child actors
By freeing up space across professional hierarchies mandatory retirement provides more opportunities for career growth and upward mobility for younger people.,retirement
wikipedia is a valuable resource that deserves funding,wikipedia
"we need to end affirmative action because we are all suppose to be equal, therefore, there should not be a need for this law.",affirmative action
supporting embryonic stem cell research is important because it is the future of medicine and it can help scientists to find new cures for diseases.,embryonic stem cell research
missionary work can promote healthy and open societies by introducing different ideas and beliefs that can benefit society as a whole.,missionary work
"closing the camp would be to release numerous terrorists who could go on to kill countless innocent people. also, the camp can cause terrorists pause knowing they may get sent there if caught",guantanamo bay detention camp
"all religions enjoy religious freedom in the us, so singling out this particular church is unfair and unconstitutional.",the church of scientology
We should abandon television since so much wasted time is spent watching totally useless shows when that time could be used much more productively. We just watch whatever is on just for something to do.,television
we should not support the austerity regime because it takes away from programs that are most needed such as feeding children.,austerity regime
"blockade of the gaza strip hasn't been a positive development and should be ended. palestinians have not been treated fairly and until this blockade is ended, they will be at a disadvantage",blockade of the gaza strip
affirmative action is damaging to people from minority groups who gain their position through their own merit,affirmative action
factory farming is the most efficient way of fulfilling the demand for meat,factory farming
missionary work should not be banned because it would infinge on the right to free speech.,missionary work
a multiparty system could increase political bureaucracy,multi-party system
"prostitution will continue regardless, legalization woueld make it safer.",prostitution
scientology is actually a wealthy cult and members are abused physically and financially.,the church of scientology
economic sanctions affect the poor more than the tyrants,the use of economic sanctions
Mandating the use of public defenders ensures that legal services are provided to the poor.,the use of public defenders
researchers found that in schools across the world with uniform policies students are more disciplined and concentrated,the use of school uniform
the use of public defenders should not be mandatory because everyone has the right to a lawyer of their choosing as long as they have the money for it.,the use of public defenders
a lack of voting leads to a situation were their isn't fair representation in parliament.,compulsory voting
autonomous cars could prevent traffic jams and accidents.,the development of autonomous cars
it is our right to choose not to vote if we disapprove of the choices,compulsory voting
missionary work forces religious views on people they may not want,missionary work
"Intelligence tests harm people by enforcing the concept of a uniform, almost two-dimensional intelligence, even though intelligence is a much broader concept.",intelligence tests
"we should adopt gender neutral speech. language should not enrich or suppress a group based on sex. by making all words neutral, all things become equal.",gender-neutral language
"targeted killing saves lives, because it only targets the individuals and avoids the death of civilians.",targeted killing
gender-neutral language is political correctness taken to an absurd degree - there is no need to reinvent words and language for the sake of gender equality in an increasingly open society.,gender-neutral language
flag burning is unpatriotic and disrespectul to a country and its laws.,flag burning
targeted killing can possibly save millions of people if we are targeting those who mean to carry out dangerous plans against the rest of the world.,targeted killing
affirmative action is ineffective in ensuring quality education,affirmative action
the quality of legal defense should be the same for everyone regardless of income,the use of public defenders
Just one life mistakenly taken in the name of justice is too many; capital punishment must be abolished.,capital punishment
an austerity regime would ensure eveyone helps to pay off the debt of the country,austerity regime
people have a right to say and believe whatever they want. you can't criminalize people's thoughts.,holocaust denial
"foster care is often a temporary, emergency measure, leaving the child feeling even more dislocated and insecure.",foster care
foster care can be horrible for the child when moving from home to home and never settling down in one place.,foster care
the cold calling of people is an invasion of privacy,telemarketing
we absolutely need a multi party system. the two party system is a failure. the entire country can't be split in to only two categories. we need better representation of the people.,multi-party system
the church of scientology has been shown to be brutal to people's mental health and should be banned.,the church of scientology
compulsory voting would only cause uneducated votes to be cast and not be a real benefit to the country.,compulsory voting
it makes some people do things they usually would not do and that isn't right,entrapment
pride parades can lead to violence with so many people in one place.,cancel pride parades
racial profiling is discriminatory and should be banned on all levels.,racial profiling
targeted killing may be necessary in very limited circumstances where there is an immediate threat to life of civilians or military personnel,targeted killing
"factory farming is nothing more than animal abuse. these animals are raised in horrible conditions and tortured. yes we need food, but this is not the right way to go about it.",factory farming
the church of scientology is a cult that is harming society.,the church of scientology
school prayer singles out children that do not have the same belief system and makes them feel awkward.,school prayer
We should support collectivism because individualism is unethical and encourages people to ignore the moral worth of others.,collectivism
families deserve the right to choose the sex they are most comfortable raising.,sex selection
"the way to correct discrimination and prejudice of the past is not to discriminate another group but, to make equal opportunity for all. affirmative action is discrimination in itself.",affirmative action
"some people find that homeopathy works for them, even if it is simply the placebo effect.",homeopathy
wikipedia is a valuable educational source and is free at source so should be promoted through subsidization,wikipedia
"Crime rates in states with capital punishment is no different than crime rates in states without, proving that it is an ineffective deterrent.",capital punishment
"the whale population is getting smaller and many of the species are becoming endangered. if whaling continues, we may lose the beautiful creatures all together.",whaling
we should adopt gender-neutral language because it will eliminate gender assumption and won't offend today's overly sensitive society,gender-neutral language
we should definitely end mandatory retirement because it is an individual's choice as to when they want to retire.,retirement
we should legalize organ trade because it may help with the organ donor list and that some people are not on it,organ trade
the olympic games being together people from many nations in a positive way and encourage a sense of community within sports.,the olympic games
autonomous cars would help people who are disabled be able to have their own transportation.,the development of autonomous cars
it is a form of harassment to be contacted constantly by telemarketers.,telemarketing
we should not ban whaling since some cultures still depend on these animals and make use of every part of the whale.,whaling
citizens are pushed into worse and worse conditions as basic goods are not able to get into where they live,blockade of the gaza strip
everyone deserves a chance at a higher education without much worry on costs,student loans
minors do not yet have the capacity to make decisions that would permanently alter their bodies.,cosmetic surgery for minors
we should ban cosmetic surgery for minors because it is also an extreme step to achieve a certain look at such a tender age,cosmetic surgery for minors
assisted suicide should be a criminal offence because the person is basically killing the other person.,assisted suicide
vocational education should not be subsidized people should fund themselves,vocational education
targeted killing gives too much power to the government. in the wrong hands this can be abused and innocent people could be killed.,targeted killing
"austerity measures stifle economic development and make the economy worse, not better",austerity regime
economic sanctions can put pressure on the regime in power. it reduces their ability to buy weapons of oppression and the ability to keep their economy healthy. it can be effective in the right circumstances.,the use of economic sanctions
they help to identify gifted children and help parents to develop their children talents,intelligence tests
mandatory retirement forces healthy able bodied people out of the work force,retirement
making a public defender mandatory takes away choice from those who may wish to find their own attorney or even just represent themselves.,the use of public defenders
the right to keep and bear arms is beneficial to the extent that people have to defend themselves from being victims of theft and protect their integrity,the right to keep and bear arms
We should not prohibit flag burning because there are many legitimate reasons to burn a flag in protest.,flag burning
the blockade is hurting free trade.,blockade of the gaza strip
social media connects family members from around the world.,social media
"television is still an important medium for many people such as the elderly to receive their news or to keep them company, especially if they have no access to internet shows",television
"cannabis is a illegal drug for a reason, it is harmful dangerous drug that alters your mental capacity and should remain illegal.",cannabis
"mandatory retirement should be abolished as lifespans increase and older people are more able and active than ever, making the old retirement ages useless.",retirement
we should prohibit flag burning it is a national crime and should not be allowed since it is distasteful to our nation.,flag burning
we shouldn't ban algorithmic trading because it gets more done than using single instructions and it's more systematic,algorithmic trading
Nuclear weapons are low-cost insurance against possible aggression,the abolition of nuclear weapons
urbanization allows populations easier access to food and services that improve quality of life.,fight urbanization
embryonic stem cell research doesn’t deserve subsidization. the killing of human embryos is unethical and inhumane and doesn’t deserve funding.,embryonic stem cell research
Foster children are given a stable home environment where they can become a member of their community.,foster care
surrogacy should be banned because the relationship between a biological mother and child is precious. we should end these types of pregnancies because they are immoral.,surrogacy
The existence of many political parties enables more people to find parties that represent their views and leads to greater political activism.,multi-party system
entrapment can lead to bias and corruption increasing.,entrapment
"Racial profiling could open the door to other types of profiling, such as profiling based on religion or sexual preference.",racial profiling
"The detainees are treated unjustly, and their conditions are inhumane.",guantanamo bay detention camp
missionary work is important to bring health and education to some areas.,missionary work
targeted killing is an effective way to eliminate threats to the united states.,targeted killing
Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.,organ trade
"legalizing prostitution would lead to it being more regulated, therefore, safer to any participants.",prostitution
"if we end affirmative action, discrimination against minorities will resume in hard to detect ways.",affirmative action
"sex is a choice between two people, and if someone wants to sell their body to make money, we should not stop them.",prostitution
minors are not mature enough to make such life altering decisions,cosmetic surgery for minors
many people turn to wikipedia for information and trust it to be correct so subsidising it should ensure the content is reliable.,wikipedia
"the vow of celibacy is antiquated and obsolete in today's world, therefore it should be abandoned.",the vow of celibacy
we should continue to support pride parades as every single group has the right to celebrate their group in any fashion they wish as long as it does not hurt others.,cancel pride parades
"marriage still has cultural and social significance, the joining of two people can truly bring happiness",marriage
it would give people more liberty and freedom to live their lives the way they want it as long as long as they were not endangering other people,libertarianism
Some naturopathic treatments may interfere with conventional treatments that a patient is undergoing.,naturopathy
assisted suicide is an act of compassion carried out by those caring for terminally ill individuals in extreme pain - helping with somebody's final wishes simply a form of service.,assisted suicide
Naturopathy increases the individual cost of medical care by exacerbating conditions and allowing them to get worse before the individual gets real treatment.,naturopathy
we should legalize organ trade because it would lead to the end of the black market in organ trading,organ trade
"in a changing world, vocational education is more likely to lead to employment and so it should be subsidised.",vocational education
Mandatory retirement is unethical because it tries to push out workers who have earned higher wages through years of hard work.,retirement
this stifles individuality and makes life dull for students,the use of school uniform
"Even one accident from a nuclear weapon going off unintentionally would cause massive damage, and this is damage that we should not accept the risk of as a society.",the abolition of nuclear weapons
this should not be banned as it makes trading easier and simpler.,algorithmic trading
legalizing prostitution allows law enforcement to focus resources on criminal activity that poses a more serious threat to the community.,prostitution
"wikipedia is an independent organisation and if we allow the government of firms to sponsor it, then it may lead to bias.",wikipedia
an austerity regime helps to balance the nation's budget and reduce national debt.,austerity regime
"stay-at-home dads often have a worse time than moms dealing with the loss of being a provider, allowing a subsidy would allow them to still feel as though they are providing financially.",stay-at-home dads
homeopathy is unregulated and not everyone that practices it are aware of possible dangers with such practices.,homeopathy
telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.,telemarketing
while hamas is in control of the gaza strip there remains a high possibility of terrorist acts towards the israeli people so the blockade must continue for the safety of israel.,blockade of the gaza strip
we should subsidize wikipedia because everyone in the world knows it as a household name and if the government pays for libraries why cant they pay for wikipedia which contains probably more information.,wikipedia
the blockade must be maintained to keep peace in the area,blockade of the gaza strip
"compulsory voting would ensure that more people were getting their voice heard at election time, making a fairer election",compulsory voting
foster care can provide a loving home to children that are not wanted by their bio parents.,foster care
holocaust denial being a criminal offense goes against the right of freedom of speech,holocaust denial
entrapment should be legalized as enables the police to capture criminals,entrapment
"we should definitely abolish the right to keep and bear arms because of all the tragic killings that are happening. until people and sensibly use arms, it must be abolished.",the right to keep and bear arms
pride parades should be allowed to continue as it allows people to celebrate diversity among human beings.,cancel pride parades
missionary work is helpful to people in third world countries,missionary work
the vow of celibacy allows priests and nuns to concentrate on helping others and helps them in their walk with their god.,the vow of celibacy
private military companies do a good service by providing security where needed,private military companies
"algorithmic trading facilitates a more efficient, low cost trading system, lowering barriers to entry.",algorithmic trading
many religions have toxic aspects but we cannot pick and choose which ones freedom of religion applies to.,the church of scientology
"minorities continue to be disadvantaged in recruitment and selection processes, affirmative action is still needed to address these biases.",affirmative action
we should close guatanamo bay because it is immoral to hold human beings as prisoners without trying them for crimes allegedly committed.,guantanamo bay detention camp
we should limit executive compensation because other workers are not getting the salary they need to live,executive compensation
organ trade between consenting parties should be an option as it can reduce wait times.,organ trade
social media is exploited by criminals trying to impersonate others,social media
"Foster care can cause financial, mental and emotional stress to family members.",foster care
wikipedia is the search page most used by students and is an updated tool that helps knowledge and should be subsidized to ensure its proper functioning,wikipedia
social media allows breaking news to be shared around the world instantaneously.,social media
Social media sucks people in and causes them to waste time they could be using productively.,social media
children in foster care show higher rates of mental illness and behavioral problems.,foster care
we should legalize polygamy because it falls under the constitution of pursuing what makes you happy.,polygamy
telemarketing is an extreme invasion of privacy,telemarketing
missionary work should be banned as it can be abused and vulnerable people can be taken advantage of,missionary work
"human cloning is an important step in prolonging life, ending disease and ending suffering.",human cloning
"cosmetic surgery is a harmful, invasive and unnecessary procedure that in the future will be looked upon as a barbaric practice, the way we look back at victorian medical procedures.",cosmetic surgery
affirmative action can be considered discriminatory against poor whites,affirmative action
holocaust denial invalidates the horror an entire group of people experienced. survivors are still alive today and shouldn't be further harmed by someone claiming this genocide didn't happen.,holocaust denial
the police should be able to use any available effective means that help them keep our streets safer.,racial profiling
minors are too young to make those kinds of life-altering decisions,cosmetic surgery for minors
the olympics is an important international competition that represents peaceful cooperation and brings together the world in friendly competitive sports when the most capable are rewarded for their efforts.,the olympic games
people should have the right to have their own biological children in whatever way is necessary providing all parties are happy with the arrangement.,surrogacy
"the aims of libertarianism, such as freedom of choice, should be key values within our society.",libertarianism
"flag burning is disrespectable to america as it represents everything we, as americans hold dear and true.",flag burning
"fast food is the biggest contributor to obesity, rich companies are making money from causing this disease and costing the healthcare industry billions",fast food
"these days, child actors are provided with tutors while on set to ensure their education is minimally disrupted and there is more support than there used to be",the use of child actors
The caging of animals at Zoos is for the benefit of the species and keeps animals from extinction.,zoos
"flag burning should not be prohibited as it is an individuals right to protest and to make this a crime will be costly and difficult to prove.,",flag burning
Residual radiation from nuclear weapons can destroy the environment and wildlife for centuries.,the abolition of nuclear weapons
it helps the poor be able to go to college or trade school,student loans
nuclear weapons should not be abolished because they provide a safety net. rogue nations have fear of the power of nuclear weapons.,the abolition of nuclear weapons
making everyone use public defenders would lead to a fairer justice system; currently the rich can sometimes buy their way out of justice.,the use of public defenders
we should adopt an austerity regime because it would help to reduce unnecessary spending,austerity regime
"executive compensation takes profits from the company and shareholders, giving it to the people at the top who do the least amount of work.",executive compensation
"The international community has already acknowledged that nuclear weapons are bad by signing a number of nuclear nonproliferation and test-ban treaties, and the next step in international cooperation should be the abolition of nuclear weapons.",the abolition of nuclear weapons
we shouldn't legalize cannabis because it could potentially lead to increases in addictions to other drugs that are far more dangerous than cannabis,cannabis
payday loans should be banned as the high interest rates lead many people into debt especially as the people getting these loans often have bad credit and have been refused elsewhere.,payday loans
algorithmic trading takes jobs away from skilled traders.,algorithmic trading
we should subsidize embryonic stem cell research because it will help many people as long as it is successfully done.,embryonic stem cell research
criminals should be caught and not allowed to continue to harm society. entrapment is an effective means of catching them.,entrapment
without child actors there will be no characters for actual children to relate to,the use of child actors
collectivism simplifies life so it's predictable and more cohesive.,collectivism
foster care can be very traumatizing to kids if they get into a bad foster care facility.,foster care
payday loans are a valid and necessary form of emergency financing for those who are unable to obtain this elsewhere - they work perfectly as long as people understand the rules.,payday loans
"the church of scientology promotes dangerous pseudoscience based on a science fiction book. it has no redeeming value, and should be banned.",the church of scientology
law were written to be followed and aren't open to interpretation. we already have different levels that classify crimes and allow for different circumstances so there is no need for judicial activism.,judicial activism
autonomous cars will reduce the human margin of error to near zero and make for a safer commute.,the development of autonomous cars
"safe spaces take advantage of the vulnerable by pretending to give them an unbiased place to be, when in fact many exist only to push their own agendas",safe spaces
the abolition of nuclear weapons is a hugely important goal on the path to world peace.,the abolition of nuclear weapons
"the blockade only hurts the common man, has no effect on the governmental willing to let their people suffer",blockade of the gaza strip
We should prohibit flag burning as it is a visible snub to the country and massively disrespectful.,flag burning
factory farming allows us to increase our supply of food and it should not be banned.,factory farming
"a private military company can provide a much more streamlined and money-saving operation versus government-owned entities, which are historically wasteful and inefficient.",private military companies
mandatory retirement is essential to allow for people to move up the career ladder and obtain higher positions in companies.,retirement
it is inhumane to decide whether or not another person should be killed.,capital punishment
Naturopathy is a dangerous and unregulated world of con artists and must be banned.,naturopathy
We should legalize the organ trade so that operations are performed safely by licensed physicians in hospitals.,organ trade
"sex selection could create places where boys outnumber girls by a lot since there are many places that value boys more than girls, and this could create problems as they get older",sex selection
"Prayer should never be prohibited in school, or anywhere, as it is a powerful and necessary thing for believers to engage in anytime they need help or guidance.",school prayer
fast food has been proven to cause obesity and heart disease therefore it should be banned.,fast food
we should not subsidize space exploration because the money could be better spent on exploring ways to help improve our earth.,space exploration
marriage is an archaic religious institution and causes people to be stuck in abusive situations because they think divorce is wrong.,marriage
if everything was spoken about gender neutrally then no one would be offended.,gender-neutral language
social media allows family to stay in touch.,social media
